Date,Leverage,Profitability,Investment,Dividend Yield
6/22/2015,2.3,130.0708104,-0.119196119,3.70%
6/23/2015,2.3,130.0708104,-0.119196119,3.70%
6/24/2015,2.3,130.0708104,-0.119196119,3.70%
6/25/2015,2.3,130.0708104,-0.119196119,3.70%
6/26/2015,2.3,130.0708104,-0.119196119,3.70%
6/27/2015,2.3,130.0708104,-0.119196119,3.70%
6/28/2015,2.3,130.0708104,-0.119196119,3.70%
6/29/2015,2.3,130.0708104,-0.119196119,3.70%
6/30/2015,2.3,130.0708104,-0.119196119,3.70%
7/1/2015,2.3,130.0708104,-0.119196119,3.70%
7/2/2015,2.3,130.0708104,-0.119196119,3.70%
7/3/2015,2.3,130.0708104,-0.119196119,3.70%
7/4/2015,2.3,130.0708104,-0.119196119,3.70%
7/5/2015,2.3,130.0708104,-0.119196119,3.70%
7/6/2015,2.3,130.0708104,-0.119196119,3.70%
7/7/2015,2.3,130.0708104,-0.119196119,3.70%
7/8/2015,2.3,130.0708104,-0.119196119,3.70%
7/9/2015,2.3,130.0708104,-0.119196119,3.70%
7/10/2015,2.3,130.0708104,-0.119196119,3.70%
7/11/2015,2.3,130.0708104,-0.119196119,3.70%
7/12/2015,2.3,130.0708104,-0.119196119,3.70%
7/13/2015,2.3,130.0708104,-0.119196119,3.70%
7/14/2015,2.3,130.0708104,-0.119196119,3.70%
7/15/2015,2.3,130.0708104,-0.119196119,3.70%
7/16/2015,2.3,130.0708104,-0.119196119,3.70%
7/17/2015,2.3,130.0708104,-0.119196119,3.70%
7/18/2015,2.3,130.0708104,-0.119196119,3.70%
7/19/2015,2.3,130.0708104,-0.119196119,3.70%
7/20/2015,2.3,130.0708104,-0.119196119,3.70%
7/21/2015,2.3,130.0708104,-0.119196119,3.70%
7/22/2015,2.3,130.0708104,-0.119196119,3.70%
7/23/2015,2.3,130.0708104,-0.119196119,3.70%
7/24/2015,2.3,130.0708104,-0.119196119,3.70%
7/25/2015,2.3,130.0708104,-0.119196119,3.70%
7/26/2015,2.3,130.0708104,-0.119196119,3.70%
7/27/2015,2.3,130.0708104,-0.119196119,3.70%
7/28/2015,2.3,130.0708104,-0.119196119,3.70%
7/29/2015,2.3,130.0708104,-0.119196119,3.70%
7/30/2015,2.3,130.0708104,-0.119196119,3.70%
7/31/2015,2.3,130.0708104,-0.119196119,3.70%
8/1/2015,2.3,130.0708104,-0.119196119,3.70%
8/2/2015,2.3,130.0708104,-0.119196119,3.70%
8/3/2015,2.3,130.0708104,-0.119196119,3.70%
8/4/2015,2.3,130.0708104,-0.119196119,3.70%
8/5/2015,2.3,130.0708104,-0.119196119,3.70%
8/6/2015,2.3,130.0708104,-0.119196119,3.70%
8/7/2015,2.3,130.0708104,-0.119196119,3.70%
8/8/2015,2.3,130.0708104,-0.119196119,3.70%
8/9/2015,2.3,130.0708104,-0.119196119,3.70%
8/10/2015,2.3,130.0708104,-0.119196119,3.70%
8/11/2015,2.3,130.0708104,-0.119196119,3.70%
8/12/2015,2.3,130.0708104,-0.119196119,3.70%
8/13/2015,2.3,130.0708104,-0.119196119,3.70%
8/14/2015,2.3,130.0708104,-0.119196119,3.70%
8/15/2015,2.3,130.0708104,-0.119196119,3.70%
8/16/2015,2.3,130.0708104,-0.119196119,3.70%
8/17/2015,2.3,130.0708104,-0.119196119,3.70%
8/18/2015,2.3,130.0708104,-0.119196119,3.70%
8/19/2015,2.3,130.0708104,-0.119196119,3.70%
8/20/2015,2.3,130.0708104,-0.119196119,3.70%
8/21/2015,2.3,130.0708104,-0.119196119,3.70%
8/22/2015,2.3,130.0708104,-0.119196119,3.70%
8/23/2015,2.3,130.0708104,-0.119196119,3.70%
8/24/2015,2.3,130.0708104,-0.119196119,3.70%
8/25/2015,2.3,130.0708104,-0.119196119,3.70%
8/26/2015,2.3,130.0708104,-0.119196119,3.70%
8/27/2015,2.3,130.0708104,-0.119196119,3.70%
8/28/2015,2.3,130.0708104,-0.119196119,3.70%
8/29/2015,2.3,130.0708104,-0.119196119,3.70%
8/30/2015,2.3,130.0708104,-0.119196119,3.70%
8/31/2015,2.3,130.0708104,-0.119196119,3.70%
9/1/2015,2.3,130.0708104,-0.119196119,3.70%
9/2/2015,2.3,130.0708104,-0.119196119,3.70%
9/3/2015,2.3,130.0708104,-0.119196119,3.70%
9/4/2015,2.3,130.0708104,-0.119196119,3.70%
9/5/2015,2.3,130.0708104,-0.119196119,3.70%
9/6/2015,2.3,130.0708104,-0.119196119,3.70%
9/7/2015,2.3,130.0708104,-0.119196119,3.70%
9/8/2015,2.3,130.0708104,-0.119196119,3.70%
9/9/2015,2.3,130.0708104,-0.119196119,3.70%
9/10/2015,2.3,130.0708104,-0.119196119,3.70%
9/11/2015,2.3,130.0708104,-0.119196119,3.70%
9/12/2015,2.3,130.0708104,-0.119196119,3.70%
9/13/2015,2.3,130.0708104,-0.119196119,3.70%
9/14/2015,2.3,130.0708104,-0.119196119,3.70%
9/15/2015,2.3,130.0708104,-0.119196119,3.70%
9/16/2015,2.3,130.0708104,-0.119196119,3.70%
9/17/2015,2.3,130.0708104,-0.119196119,3.70%
9/18/2015,2.3,130.0708104,-0.119196119,3.70%
9/19/2015,2.3,130.0708104,-0.119196119,3.70%
9/20/2015,2.3,130.0708104,-0.119196119,3.70%
9/21/2015,2.3,130.0708104,-0.119196119,3.70%
9/22/2015,2.3,130.0708104,-0.119196119,3.70%
9/23/2015,2.3,130.0708104,-0.119196119,3.70%
9/24/2015,2.3,130.0708104,-0.119196119,3.70%
9/25/2015,2.3,130.0708104,-0.119196119,3.70%
9/26/2015,2.3,130.0708104,-0.119196119,3.70%
9/27/2015,2.3,130.0708104,-0.119196119,3.70%
9/28/2015,2.3,130.0708104,-0.119196119,3.70%
9/29/2015,2.3,130.0708104,-0.119196119,3.70%
9/30/2015,2.3,130.0708104,-0.119196119,3.70%
10/1/2015,2.3,130.0708104,-0.119196119,3.70%
10/2/2015,2.3,130.0708104,-0.119196119,3.70%
10/3/2015,2.3,130.0708104,-0.119196119,3.70%
10/4/2015,2.3,130.0708104,-0.119196119,3.70%
10/5/2015,2.3,130.0708104,-0.119196119,3.70%
10/6/2015,2.3,130.0708104,-0.119196119,3.70%
10/7/2015,2.3,130.0708104,-0.119196119,3.70%
10/8/2015,2.3,130.0708104,-0.119196119,3.70%
10/9/2015,2.3,130.0708104,-0.119196119,3.70%
10/10/2015,2.3,130.0708104,-0.119196119,3.70%
10/11/2015,2.3,130.0708104,-0.119196119,3.70%
10/12/2015,2.3,130.0708104,-0.119196119,3.70%
10/13/2015,2.3,130.0708104,-0.119196119,3.70%
10/14/2015,2.3,130.0708104,-0.119196119,3.70%
10/15/2015,2.3,130.0708104,-0.119196119,3.70%
10/16/2015,2.3,130.0708104,-0.119196119,3.70%
10/17/2015,2.3,130.0708104,-0.119196119,3.70%
10/18/2015,2.3,130.0708104,-0.119196119,3.70%
10/19/2015,2.3,130.0708104,-0.119196119,3.70%
10/20/2015,2.3,130.0708104,-0.119196119,3.70%
10/21/2015,2.3,130.0708104,-0.119196119,3.70%
10/22/2015,2.3,130.0708104,-0.119196119,3.70%
10/23/2015,2.3,130.0708104,-0.119196119,3.70%
10/24/2015,2.3,130.0708104,-0.119196119,3.70%
10/25/2015,2.3,130.0708104,-0.119196119,3.70%
10/26/2015,2.3,130.0708104,-0.119196119,3.70%
10/27/2015,2.3,130.0708104,-0.119196119,3.70%
10/28/2015,2.3,130.0708104,-0.119196119,3.70%
10/29/2015,2.3,130.0708104,-0.119196119,3.70%
10/30/2015,2.3,130.0708104,-0.119196119,3.70%
10/31/2015,2.3,130.0708104,-0.119196119,3.70%
11/1/2015,2.3,130.0708104,-0.119196119,3.70%
11/2/2015,2.3,130.0708104,-0.119196119,3.70%
11/3/2015,2.3,130.0708104,-0.119196119,3.70%
11/4/2015,2.3,130.0708104,-0.119196119,3.70%
11/5/2015,2.3,130.0708104,-0.119196119,3.70%
11/6/2015,2.3,130.0708104,-0.119196119,3.70%
11/7/2015,2.3,130.0708104,-0.119196119,3.70%
11/8/2015,2.3,130.0708104,-0.119196119,3.70%
11/9/2015,2.3,130.0708104,-0.119196119,3.70%
11/10/2015,2.3,130.0708104,-0.119196119,3.70%
11/11/2015,2.3,130.0708104,-0.119196119,3.70%
11/12/2015,2.3,130.0708104,-0.119196119,3.70%
11/13/2015,2.3,130.0708104,-0.119196119,3.70%
11/14/2015,2.3,130.0708104,-0.119196119,3.70%
11/15/2015,2.3,130.0708104,-0.119196119,3.70%
11/16/2015,2.3,130.0708104,-0.119196119,3.70%
11/17/2015,2.3,130.0708104,-0.119196119,3.70%
11/18/2015,2.3,130.0708104,-0.119196119,3.70%
11/19/2015,2.3,130.0708104,-0.119196119,3.70%
11/20/2015,2.3,130.0708104,-0.119196119,3.70%
11/21/2015,2.3,130.0708104,-0.119196119,3.70%
11/22/2015,2.3,130.0708104,-0.119196119,3.70%
11/23/2015,2.3,130.0708104,-0.119196119,3.70%
11/24/2015,2.3,130.0708104,-0.119196119,3.70%
11/25/2015,2.3,130.0708104,-0.119196119,3.70%
11/26/2015,2.3,130.0708104,-0.119196119,3.70%
11/27/2015,2.3,130.0708104,-0.119196119,3.70%
11/28/2015,2.3,130.0708104,-0.119196119,3.70%
11/29/2015,2.3,130.0708104,-0.119196119,3.70%
11/30/2015,2.3,130.0708104,-0.119196119,3.70%
12/1/2015,2.3,130.0708104,-0.119196119,3.70%
12/2/2015,2.3,130.0708104,-0.119196119,3.70%
12/3/2015,2.3,130.0708104,-0.119196119,3.70%
12/4/2015,2.3,130.0708104,-0.119196119,3.70%
12/5/2015,2.3,130.0708104,-0.119196119,3.70%
12/6/2015,2.3,130.0708104,-0.119196119,3.70%
12/7/2015,2.3,130.0708104,-0.119196119,3.70%
12/8/2015,2.3,130.0708104,-0.119196119,3.70%
12/9/2015,2.3,130.0708104,-0.119196119,3.70%
12/10/2015,2.3,130.0708104,-0.119196119,3.70%
12/11/2015,2.3,130.0708104,-0.119196119,3.70%
12/12/2015,2.3,130.0708104,-0.119196119,3.70%
12/13/2015,2.3,130.0708104,-0.119196119,3.70%
12/14/2015,2.3,130.0708104,-0.119196119,3.70%
12/15/2015,2.3,130.0708104,-0.119196119,3.70%
12/16/2015,2.3,130.0708104,-0.119196119,3.70%
12/17/2015,2.3,130.0708104,-0.119196119,3.70%
12/18/2015,2.3,130.0708104,-0.119196119,3.70%
12/19/2015,2.3,130.0708104,-0.119196119,3.70%
12/20/2015,2.3,130.0708104,-0.119196119,3.70%
12/21/2015,2.3,130.0708104,-0.119196119,3.70%
12/22/2015,2.3,130.0708104,-0.119196119,3.70%
12/23/2015,2.3,130.0708104,-0.119196119,3.70%
12/24/2015,2.3,130.0708104,-0.119196119,3.70%
12/25/2015,2.3,130.0708104,-0.119196119,3.70%
12/26/2015,2.3,130.0708104,-0.119196119,3.70%
12/27/2015,2.3,130.0708104,-0.119196119,3.70%
12/28/2015,2.3,130.0708104,-0.119196119,3.70%
12/29/2015,2.3,130.0708104,-0.119196119,3.70%
12/30/2015,2.3,130.0708104,-0.119196119,3.70%
12/31/2015,2.3,130.0708104,-0.119196119,3.70%
1/1/2016,2.2,137.7574751,-0.052714398,3.60%
1/2/2016,2.2,137.7574751,-0.052714398,3.60%
1/3/2016,2.2,137.7574751,-0.052714398,3.60%
1/4/2016,2.2,137.7574751,-0.052714398,3.60%
1/5/2016,2.2,137.7574751,-0.052714398,3.60%
1/6/2016,2.2,137.7574751,-0.052714398,3.60%
1/7/2016,2.2,137.7574751,-0.052714398,3.60%
1/8/2016,2.2,137.7574751,-0.052714398,3.60%
1/9/2016,2.2,137.7574751,-0.052714398,3.60%
1/10/2016,2.2,137.7574751,-0.052714398,3.60%
1/11/2016,2.2,137.7574751,-0.052714398,3.60%
1/12/2016,2.2,137.7574751,-0.052714398,3.60%
1/13/2016,2.2,137.7574751,-0.052714398,3.60%
1/14/2016,2.2,137.7574751,-0.052714398,3.60%
1/15/2016,2.2,137.7574751,-0.052714398,3.60%
1/16/2016,2.2,137.7574751,-0.052714398,3.60%
1/17/2016,2.2,137.7574751,-0.052714398,3.60%
1/18/2016,2.2,137.7574751,-0.052714398,3.60%
1/19/2016,2.2,137.7574751,-0.052714398,3.60%
1/20/2016,2.2,137.7574751,-0.052714398,3.60%
1/21/2016,2.2,137.7574751,-0.052714398,3.60%
1/22/2016,2.2,137.7574751,-0.052714398,3.60%
1/23/2016,2.2,137.7574751,-0.052714398,3.60%
1/24/2016,2.2,137.7574751,-0.052714398,3.60%
1/25/2016,2.2,137.7574751,-0.052714398,3.60%
1/26/2016,2.2,137.7574751,-0.052714398,3.60%
1/27/2016,2.2,137.7574751,-0.052714398,3.60%
1/28/2016,2.2,137.7574751,-0.052714398,3.60%
1/29/2016,2.2,137.7574751,-0.052714398,3.60%
1/30/2016,2.2,137.7574751,-0.052714398,3.60%
1/31/2016,2.2,137.7574751,-0.052714398,3.60%
2/1/2016,2.2,137.7574751,-0.052714398,3.60%
2/2/2016,2.2,137.7574751,-0.052714398,3.60%
2/3/2016,2.2,137.7574751,-0.052714398,3.60%
2/4/2016,2.2,137.7574751,-0.052714398,3.60%
2/5/2016,2.2,137.7574751,-0.052714398,3.60%
2/6/2016,2.2,137.7574751,-0.052714398,3.60%
2/7/2016,2.2,137.7574751,-0.052714398,3.60%
2/8/2016,2.2,137.7574751,-0.052714398,3.60%
