,Leverage,Profitability,Investment,Dividend Yield
9/29/2015,2,0.096445962,-0.036337625,5.10%
9/30/2015,2,0.096445962,-0.036337625,5.10%
10/1/2015,2,0.096445962,-0.036337625,5.10%
10/2/2015,2,0.096445962,-0.036337625,5.10%
10/3/2015,2,0.096445962,-0.036337625,5.10%
10/4/2015,2,0.096445962,-0.036337625,5.10%
10/5/2015,2,0.096445962,-0.036337625,5.10%
10/6/2015,2,0.096445962,-0.036337625,5.10%
10/7/2015,2,0.096445962,-0.036337625,5.10%
10/8/2015,2,0.096445962,-0.036337625,5.10%
10/9/2015,2,0.096445962,-0.036337625,5.10%
10/10/2015,2,0.096445962,-0.036337625,5.10%
10/11/2015,2,0.096445962,-0.036337625,5.10%
10/12/2015,2,0.096445962,-0.036337625,5.10%
10/13/2015,2,0.096445962,-0.036337625,5.10%
10/14/2015,2,0.096445962,-0.036337625,5.10%
10/15/2015,2,0.096445962,-0.036337625,5.10%
10/16/2015,2,0.096445962,-0.036337625,5.10%
10/17/2015,2,0.096445962,-0.036337625,5.10%
10/18/2015,2,0.096445962,-0.036337625,5.10%
10/19/2015,2,0.096445962,-0.036337625,5.10%
10/20/2015,2,0.096445962,-0.036337625,5.10%
10/21/2015,2,0.096445962,-0.036337625,5.10%
10/22/2015,2,0.096445962,-0.036337625,5.10%
10/23/2015,2,0.096445962,-0.036337625,5.10%
10/24/2015,2,0.096445962,-0.036337625,5.10%
10/25/2015,2,0.096445962,-0.036337625,5.10%
10/26/2015,2,0.096445962,-0.036337625,5.10%
10/27/2015,2,0.096445962,-0.036337625,5.10%
10/28/2015,2,0.096445962,-0.036337625,5.10%
10/29/2015,2,0.096445962,-0.036337625,5.10%
10/30/2015,2,0.096445962,-0.036337625,5.10%
10/31/2015,2,0.096445962,-0.036337625,5.10%
11/1/2015,2,0.096445962,-0.036337625,5.10%
11/2/2015,2,0.096445962,-0.036337625,5.10%
11/3/2015,2,0.096445962,-0.036337625,5.10%
11/4/2015,2,0.096445962,-0.036337625,5.10%
11/5/2015,2,0.096445962,-0.036337625,5.10%
11/6/2015,2,0.096445962,-0.036337625,5.10%
11/7/2015,2,0.096445962,-0.036337625,5.10%
11/8/2015,2,0.096445962,-0.036337625,5.10%
11/9/2015,2,0.096445962,-0.036337625,5.10%
11/10/2015,2,0.096445962,-0.036337625,5.10%
11/11/2015,2,0.096445962,-0.036337625,5.10%
11/12/2015,2,0.096445962,-0.036337625,5.10%
11/13/2015,2,0.096445962,-0.036337625,5.10%
11/14/2015,2,0.096445962,-0.036337625,5.10%
11/15/2015,2,0.096445962,-0.036337625,5.10%
11/16/2015,2,0.096445962,-0.036337625,5.10%
11/17/2015,2,0.096445962,-0.036337625,5.10%
11/18/2015,2,0.096445962,-0.036337625,5.10%
11/19/2015,2,0.096445962,-0.036337625,5.10%
11/20/2015,2,0.096445962,-0.036337625,5.10%
11/21/2015,2,0.096445962,-0.036337625,5.10%
11/22/2015,2,0.096445962,-0.036337625,5.10%
11/23/2015,2,0.096445962,-0.036337625,5.10%
11/24/2015,2,0.096445962,-0.036337625,5.10%
11/25/2015,2,0.096445962,-0.036337625,5.10%
11/26/2015,2,0.096445962,-0.036337625,5.10%
11/27/2015,2,0.096445962,-0.036337625,5.10%
11/28/2015,2,0.096445962,-0.036337625,5.10%
11/29/2015,2,0.096445962,-0.036337625,5.10%
11/30/2015,2,0.096445962,-0.036337625,5.10%
12/1/2015,2,0.096445962,-0.036337625,5.10%
12/2/2015,2,0.096445962,-0.036337625,5.10%
12/3/2015,2,0.096445962,-0.036337625,5.10%
12/4/2015,2,0.096445962,-0.036337625,5.10%
12/5/2015,2,0.096445962,-0.036337625,5.10%
12/6/2015,2,0.096445962,-0.036337625,5.10%
12/7/2015,2,0.096445962,-0.036337625,5.10%
12/8/2015,2,0.096445962,-0.036337625,5.10%
12/9/2015,2,0.096445962,-0.036337625,5.10%
12/10/2015,2,0.096445962,-0.036337625,5.10%
12/11/2015,2,0.096445962,-0.036337625,5.10%
12/12/2015,2,0.096445962,-0.036337625,5.10%
12/13/2015,2,0.096445962,-0.036337625,5.10%
12/14/2015,2,0.096445962,-0.036337625,5.10%
12/15/2015,2,0.096445962,-0.036337625,5.10%
12/16/2015,2,0.096445962,-0.036337625,5.10%
12/17/2015,2,0.096445962,-0.036337625,5.10%
12/18/2015,2,0.096445962,-0.036337625,5.10%
12/19/2015,2,0.096445962,-0.036337625,5.10%
12/20/2015,2,0.096445962,-0.036337625,5.10%
12/21/2015,2,0.096445962,-0.036337625,5.10%
12/22/2015,2,0.096445962,-0.036337625,5.10%
12/23/2015,2,0.096445962,-0.036337625,5.10%
12/24/2015,2,0.096445962,-0.036337625,5.10%
12/25/2015,2,0.096445962,-0.036337625,5.10%
12/26/2015,2,0.096445962,-0.036337625,5.10%
12/27/2015,2,0.096445962,-0.036337625,5.10%
12/28/2015,2,0.096445962,-0.036337625,5.10%
12/29/2015,2,0.096445962,-0.036337625,5.10%
12/30/2015,2,0.096445962,-0.036337625,5.10%
12/31/2015,2,0.096445962,-0.036337625,5.10%
1/1/2016,2,0.070372389,-0.019299287,4.40%
1/2/2016,2,0.070372389,-0.019299287,4.40%
1/3/2016,2,0.070372389,-0.019299287,4.40%
1/4/2016,2,0.070372389,-0.019299287,4.40%
1/5/2016,2,0.070372389,-0.019299287,4.40%
1/6/2016,2,0.070372389,-0.019299287,4.40%
1/7/2016,2,0.070372389,-0.019299287,4.40%
1/8/2016,2,0.070372389,-0.019299287,4.40%
1/9/2016,2,0.070372389,-0.019299287,4.40%
1/10/2016,2,0.070372389,-0.019299287,4.40%
1/11/2016,2,0.070372389,-0.019299287,4.40%
1/12/2016,2,0.070372389,-0.019299287,4.40%
1/13/2016,2,0.070372389,-0.019299287,4.40%
1/14/2016,2,0.070372389,-0.019299287,4.40%
1/15/2016,2,0.070372389,-0.019299287,4.40%
1/16/2016,2,0.070372389,-0.019299287,4.40%
1/17/2016,2,0.070372389,-0.019299287,4.40%
1/18/2016,2,0.070372389,-0.019299287,4.40%
1/19/2016,2,0.070372389,-0.019299287,4.40%
1/20/2016,2,0.070372389,-0.019299287,4.40%
1/21/2016,2,0.070372389,-0.019299287,4.40%
1/22/2016,2,0.070372389,-0.019299287,4.40%
1/23/2016,2,0.070372389,-0.019299287,4.40%
1/24/2016,2,0.070372389,-0.019299287,4.40%
1/25/2016,2,0.070372389,-0.019299287,4.40%
1/26/2016,2,0.070372389,-0.019299287,4.40%
1/27/2016,2,0.070372389,-0.019299287,4.40%
1/28/2016,2,0.070372389,-0.019299287,4.40%
1/29/2016,2,0.070372389,-0.019299287,4.40%
1/30/2016,2,0.070372389,-0.019299287,4.40%
1/31/2016,2,0.070372389,-0.019299287,4.40%
2/1/2016,2,0.070372389,-0.019299287,4.40%
2/2/2016,2,0.070372389,-0.019299287,4.40%
2/3/2016,2,0.070372389,-0.019299287,4.40%
2/4/2016,2,0.070372389,-0.019299287,4.40%
2/5/2016,2,0.070372389,-0.019299287,4.40%
2/6/2016,2,0.070372389,-0.019299287,4.40%
