Date,Size,P/B RATIO,,,,,
11/6/15,"96,439,860,000",2.958,,,,,
11/9/15,"96,439,860,000",2.958,,,,,
11/10/15,"96,439,860,000",2.958,,,,,
11/11/15,"96,439,860,000",2.958,,,,,
11/12/15,"96,439,860,000",2.958,,,,,
11/13/15,"96,439,860,000",2.958,,,,,
11/16/15,"96,439,860,000",2.958,,,,,
11/17/15,"96,439,860,000",2.958,,,,,
11/18/15,"96,439,860,000",2.958,,,,,
11/19/15,"96,439,860,000",2.958,,,,,
11/20/15,"96,439,860,000",2.958,,,,,
11/23/15,"96,439,860,000",2.958,,,,,
11/24/15,"96,439,860,000",2.958,,,,,
11/25/15,"96,439,860,000",2.958,,,,,
11/26/15,"96,439,860,000",2.958,,,,,
11/27/15,"96,439,860,000",2.958,,,,,
11/30/15,"96,439,860,000",2.958,,,,,
12/1/15,"96,439,860,000",2.958,,,,,
12/2/15,"96,439,860,000",2.958,,,,,
12/3/15,"96,439,860,000",2.958,,,,,
12/4/15,"96,439,860,000",2.958,,,,,
12/7/15,"96,439,860,000",2.958,,,,,
12/8/15,"96,439,860,000",2.958,,,,,
12/9/15,"96,439,860,000",2.958,,,,,
12/10/15,"96,439,860,000",2.958,,,,,
12/11/15,"96,439,860,000",2.958,,,,,
12/14/15,"96,439,860,000",2.958,,,,,
12/15/15,"96,439,860,000",2.958,,,,,
12/16/15,"96,439,860,000",2.958,,,,,
12/17/15,"96,439,860,000",2.958,,,,,
12/18/15,"96,439,860,000",2.958,,,,,
12/21/15,"96,439,860,000",2.958,,,,,
12/22/15,"96,439,860,000",2.958,,,,,
12/23/15,"96,439,860,000",2.958,,,,,
12/24/15,"96,439,860,000",2.958,,,,,
12/25/15,"96,439,860,000",2.958,,,,,
12/28/15,"96,439,860,000",2.958,,,,,
12/29/15,"96,439,860,000",2.958,,,,,
12/30/15,"96,439,860,000",2.958,,,,,
12/31/15,"112,110,920,000",3.386,,,,,
1/1/16,"112,110,920,000",3.386,,,,,
1/4/16,"112,110,920,000",3.386,,,,,
1/5/16,"112,110,920,000",3.386,,,,,
1/6/16,"112,110,920,000",3.386,,,,,
1/7/16,"112,110,920,000",3.386,,,,,
1/8/16,"112,110,920,000",3.386,,,,,
1/11/16,"112,110,920,000",3.386,,,,,
1/12/16,"112,110,920,000",3.386,,,,,
1/13/16,"112,110,920,000",3.386,,,,,
1/14/16,"112,110,920,000",3.386,,,,,
1/15/16,"112,110,920,000",3.386,,,,,
1/18/16,"112,110,920,000",3.386,,,,,
1/19/16,"112,110,920,000",3.386,,,,,
1/20/16,"112,110,920,000",3.386,,,,,
1/21/16,"112,110,920,000",3.386,,,,,
1/22/16,"112,110,920,000",3.386,,,,,
1/25/16,"112,110,920,000",3.386,,,,,
1/26/16,"112,110,920,000",3.386,,,,,
1/27/16,"112,110,920,000",3.386,,,,,
1/28/16,"112,110,920,000",3.386,,,,,
1/29/16,"112,110,920,000",3.386,,,,,
2/1/16,"112,110,920,000",3.386,,,,,
2/2/16,"112,110,920,000",3.386,,,,,
2/3/16,"112,110,920,000",3.386,,,,,
2/4/16,"112,110,920,000",3.386,,,,,
2/5/16,"112,110,920,000",3.386,,,,,
2/8/16,"112,110,920,000",3.386,,,,,
2/9/16,"112,110,920,000",3.386,,,,,
2/10/16,"112,110,920,000",3.386,,,,,
2/11/16,"112,110,920,000",3.386,,,,,
2/12/16,"112,110,920,000",3.386,,,,,
2/15/16,"112,110,920,000",3.386,,,,,
2/16/16,"112,110,920,000",3.386,,,,,
2/17/16,"112,110,920,000",3.386,,,,,
2/18/16,"112,110,920,000",3.386,,,,,
2/19/16,"112,110,920,000",3.386,,,,,
2/22/16,"112,110,920,000",3.386,,,,,
2/23/16,"112,110,920,000",3.386,,,,,
2/24/16,"112,110,920,000",3.386,,,,,
2/25/16,"112,110,920,000",3.386,,,,,
2/26/16,"112,110,920,000",3.386,,,,,
2/29/16,"112,110,920,000",3.386,,,,,
3/1/16,"112,110,920,000",3.386,,,,,
3/2/16,"112,110,920,000",3.386,,,,,
3/3/16,"112,110,920,000",3.386,,,,,
3/4/16,"112,110,920,000",3.386,,,,,
3/7/16,"112,110,920,000",3.386,,,,,
3/8/16,"112,110,920,000",3.386,,,,,
3/9/16,"112,110,920,000",3.386,,,,,
3/10/16,"112,110,920,000",3.386,,,,,
3/11/16,"112,110,920,000",3.386,,,,,
3/14/16,"112,110,920,000",3.386,,,,,
3/15/16,"112,110,920,000",3.386,,,,,
3/16/16,"112,110,920,000",3.386,,,,,
3/17/16,"112,110,920,000",3.386,,,,,
3/18/16,"112,110,920,000",3.386,,,,,
3/21/16,"112,110,920,000",3.386,,,,,
3/22/16,"112,110,920,000",3.386,,,,,
3/23/16,"112,110,920,000",3.386,,,,,
3/24/16,"112,110,920,000",3.386,,,,,
3/25/16,"112,110,920,000",3.386,,,,,
3/28/16,"112,110,920,000",3.386,,,,,
3/29/16,"112,110,920,000",3.386,,,,,
3/30/16,"112,110,920,000",3.386,,,,,
3/31/16,"112,110,920,000",3.386,,,,,
4/1/16,"112,110,920,000",3.386,,,,,
4/4/16,"112,110,920,000",3.386,,,,,
4/5/16,"112,110,920,000",3.386,,,,,
4/6/16,"112,110,920,000",3.386,,,,,
4/7/16,"112,110,920,000",3.386,,,,,
4/8/16,"112,110,920,000",3.386,,,,,
4/11/16,"112,110,920,000",3.386,,,,,
4/12/16,"112,110,920,000",3.386,,,,,
4/13/16,"112,110,920,000",3.386,,,,,
4/14/16,"112,110,920,000",3.386,,,,,
4/15/16,"112,110,920,000",3.386,,,,,
4/18/16,"112,110,920,000",3.386,,,,,
4/19/16,"112,110,920,000",3.386,,,,,
4/20/16,"112,110,920,000",3.386,,,,,
4/21/16,"112,110,920,000",3.386,,,,,
4/22/16,"112,110,920,000",3.386,,,,,
4/25/16,"112,110,920,000",3.386,,,,,
4/26/16,"112,110,920,000",3.386,,,,,
4/27/16,"112,110,920,000",3.386,,,,,
4/28/16,"112,110,920,000",3.386,,,,,
4/29/16,"112,110,920,000",3.386,,,,,
5/2/16,"112,110,920,000",3.386,,,,,
5/3/16,"112,110,920,000",3.386,,,,,
5/4/16,"112,110,920,000",3.386,,,,,
5/5/16,"112,110,920,000",3.386,,,,,
5/6/16,"112,110,920,000",3.386,,,,,
5/9/16,"112,110,920,000",3.386,,,,,
5/10/16,"112,110,920,000",3.386,,,,,
5/11/16,"112,110,920,000",3.386,,,,,
5/12/16,"112,110,920,000",3.386,,,,,
5/13/16,"112,110,920,000",3.386,,,,,
5/16/16,"112,110,920,000",3.386,,,,,
5/17/16,"112,110,920,000",3.386,,,,,
5/18/16,"112,110,920,000",3.386,,,,,
5/19/16,"112,110,920,000",3.386,,,,,
5/20/16,"112,110,920,000",3.386,,,,,
5/23/16,"112,110,920,000",3.386,,,,,
5/24/16,"112,110,920,000",3.386,,,,,
5/25/16,"112,110,920,000",3.386,,,,,
5/26/16,"112,110,920,000",3.386,,,,,
5/27/16,"112,110,920,000",3.386,,,,,
5/30/16,"112,110,920,000",3.386,,,,,
5/31/16,"112,110,920,000",3.386,,,,,
6/1/16,"112,110,920,000",3.386,,,,,
6/2/16,"112,110,920,000",3.386,,,,,
6/3/16,"112,110,920,000",3.386,,,,,
6/6/16,"112,110,920,000",3.386,,,,,
6/7/16,"112,110,920,000",3.386,,,,,
6/8/16,"112,110,920,000",3.386,,,,,
6/9/16,"112,110,920,000",3.386,,,,,
6/10/16,"112,110,920,000",3.386,,,,,
6/13/16,"112,110,920,000",3.386,,,,,
6/14/16,"112,110,920,000",3.386,,,,,
6/15/16,"112,110,920,000",3.386,,,,,
6/16/16,"112,110,920,000",3.386,,,,,
6/17/16,"112,110,920,000",3.386,,,,,
6/20/16,"112,110,920,000",3.386,,,,,
6/21/16,"112,110,920,000",3.386,,,,,
6/22/16,"112,110,920,000",3.386,,,,,
6/23/16,"112,110,920,000",3.386,,,,,
6/24/16,"112,110,920,000",3.386,,,,,
6/27/16,"112,110,920,000",3.386,,,,,
6/28/16,"112,110,920,000",3.386,,,,,
6/29/16,"112,110,920,000",3.386,,,,,
6/30/16,"112,110,920,000",3.386,,,,,
7/1/16,"112,110,920,000",3.386,,,,,
7/4/16,"112,110,920,000",3.386,,,,,
7/5/16,"112,110,920,000",3.386,,,,,
7/6/16,"112,110,920,000",3.386,,,,,
7/7/16,"112,110,920,000",3.386,,,,,
7/8/16,"112,110,920,000",3.386,,,,,
7/11/16,"112,110,920,000",3.386,,,,,
7/12/16,"112,110,920,000",3.386,,,,,
7/13/16,"112,110,920,000",3.386,,,,,
7/14/16,"112,110,920,000",3.386,,,,,
7/15/16,"112,110,920,000",3.386,,,,,
7/18/16,"112,110,920,000",3.386,,,,,
7/19/16,"112,110,920,000",3.386,,,,,
7/20/16,"112,110,920,000",3.386,,,,,
7/21/16,"112,110,920,000",3.386,,,,,
