Date,Size,P/B RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
