,Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield
2392,8/9/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2393,8/10/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2394,8/11/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2395,8/12/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2396,8/13/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2397,8/14/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2398,8/15/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2399,8/16/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2400,8/17/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2401,8/18/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2402,8/19/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2403,8/20/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2404,8/21/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2405,8/22/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2406,8/23/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2407,8/24/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2408,8/25/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2409,8/26/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2410,8/27/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2411,8/28/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2412,8/29/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2413,8/30/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2414,8/31/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2415,9/1/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2416,9/2/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2417,9/3/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2418,9/4/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2419,9/5/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2420,9/6/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2421,9/7/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2422,9/8/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2423,9/9/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2424,9/10/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2425,9/11/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2426,9/12/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2427,9/13/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2428,9/14/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2429,9/15/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2430,9/16/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2431,9/17/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2432,9/18/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2433,9/19/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2434,9/20/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2435,9/21/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2436,9/22/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2437,9/23/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2438,9/24/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2439,9/25/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2440,9/26/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2441,9/27/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2442,9/28/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2443,9/29/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2444,9/30/2018,,,-5.2,0.233549083,-0.031853786,1.50%
2445,10/1/2018,,,-8.0,0.185077519,0.113268608,2.00%
2446,10/2/2018,,,-8.0,0.185077519,0.113268608,2.00%
2447,10/3/2018,,,-8.0,0.185077519,0.113268608,2.00%
2448,10/4/2018,,,-8.0,0.185077519,0.113268608,2.00%
2449,10/5/2018,,,-8.0,0.185077519,0.113268608,2.00%
2450,10/6/2018,,,-8.0,0.185077519,0.113268608,2.00%
2451,10/7/2018,,,-8.0,0.185077519,0.113268608,2.00%
2452,10/8/2018,,,-8.0,0.185077519,0.113268608,2.00%
2453,10/9/2018,,,-8.0,0.185077519,0.113268608,2.00%
2454,10/10/2018,,,-8.0,0.185077519,0.113268608,2.00%
2455,10/11/2018,,,-8.0,0.185077519,0.113268608,2.00%
2456,10/12/2018,,,-8.0,0.185077519,0.113268608,2.00%
2457,10/13/2018,,,-8.0,0.185077519,0.113268608,2.00%
2458,10/14/2018,,,-8.0,0.185077519,0.113268608,2.00%
2459,10/15/2018,,,-8.0,0.185077519,0.113268608,2.00%
2460,10/16/2018,,,-8.0,0.185077519,0.113268608,2.00%
2461,10/17/2018,,,-8.0,0.185077519,0.113268608,2.00%
2462,10/18/2018,,,-8.0,0.185077519,0.113268608,2.00%
2463,10/19/2018,,,-8.0,0.185077519,0.113268608,2.00%
2464,10/20/2018,,,-8.0,0.185077519,0.113268608,2.00%
2465,10/21/2018,,,-8.0,0.185077519,0.113268608,2.00%
2466,10/22/2018,,,-8.0,0.185077519,0.113268608,2.00%
2467,10/23/2018,,,-8.0,0.185077519,0.113268608,2.00%
2468,10/24/2018,,,-8.0,0.185077519,0.113268608,2.00%
2469,10/25/2018,,,-8.0,0.185077519,0.113268608,2.00%
2470,10/26/2018,,,-8.0,0.185077519,0.113268608,2.00%
2471,10/27/2018,,,-8.0,0.185077519,0.113268608,2.00%
2472,10/28/2018,,,-8.0,0.185077519,0.113268608,2.00%
