Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
8/7/19,0.244487318,0.594991618,6.9,0.069772999,-0.019102309,2.20%,-0.058591704,3.769411763,-0.313946754,"12,240,000,000",7.21,8,0.983171706,31.50499,-0.016971498
8/8/19,0.219996025,0.498061014,6.9,0.069772999,-0.019102309,2.20%,-0.058591704,4.173912079,-0.237556473,"12,240,000,000",7.21,8,1,31.50499,0
8/9/19,0.223768992,0.444949,6.9,0.069772999,-0.019102309,2.20%,-0.035190194,6.597270414,-0.303642493,"12,240,000,000",7.21,8,1.012474644,31.898003,0.012397477
8/12/19,0.232783304,0.528136948,6.9,0.069772999,-0.019102309,2.20%,-0.058966259,4.340368424,-0.004133013,"12,240,000,000",7.21,8,0.976504299,31.148535,-0.023776126
8/13/19,0.232783304,0.49958259,6.9,0.069772999,-0.019102309,2.20%,-0.058966259,4.63661609,-0.003868942,"12,240,000,000",7.21,8,1,31.148535,0
8/14/19,0.232783304,0.360396437,6.9,0.069772999,-0.019102309,2.20%,-0.058966259,4.883874052,-0.028223004,"12,240,000,000",7.21,8,1,31.148535,0
8/15/19,0.282512145,0.418274254,6.9,0.069772999,-0.019102309,2.20%,-0.039327745,5.145118823,-0.269859182,"12,240,000,000",7.21,8,1.053403753,32.811985,0.052026591
8/16/19,0.282512145,0.390154042,6.9,0.069772999,-0.019102309,2.20%,-0.039327745,5.145118823,-0.269859182,"12,240,000,000",7.21,8,1,32.811985,0
8/19/19,0.285453487,0.423318864,6.9,0.069772999,-0.019102309,2.20%,0.001925374,-98.05337213,-0.361044746,"12,240,000,000",7.21,8,1.013648941,33.259834,0.013556633
8/20/19,0.285453487,0.41810687,6.9,0.069772999,-0.019102309,2.20%,0.001099708,-149.8786519,-0.270858586,"12,240,000,000",7.21,8,1,33.259834,0
8/21/19,0.292658701,0.361695061,6.9,0.069772999,-0.019102309,2.20%,-0.012439255,14.33861827,-0.147182467,"12,240,000,000",7.21,8,0.97774122,32.812557,-0.022510246
8/22/19,0.302154943,0.359153468,6.9,0.069772999,-0.019102309,2.20%,-0.03950257,5.200295708,-0.038127924,"12,240,000,000",7.21,8,0.97329958,31.936451,-0.027063351
8/23/19,0.304683361,0.415106481,6.9,0.069772999,-0.019102309,2.20%,-0.074481134,3.000637729,0.009223097,"12,240,000,000",7.21,8,0.982096362,31.36467,-0.018065847
8/26/19,0.304683361,0.405257869,6.9,0.069772999,-0.019102309,2.20%,-0.074481134,3.000637729,-0.035054331,"12,240,000,000",7.21,8,1,31.36467,0
8/27/19,0.319368652,0.387269144,6.9,0.069772999,-0.019102309,2.20%,-0.043789493,4.402865745,-0.199824236,"12,240,000,000",7.21,8,1.031167364,32.342228,0.030691524
8/28/19,0.320083575,0.372306762,6.9,0.069772999,-0.019102309,2.20%,-0.062319223,3.226981541,-0.150282412,"12,240,000,000",7.21,8,0.991730796,32.074783,-0.008303584
8/29/19,0.30347814,0.331678821,6.9,0.069772999,-0.019102309,2.20%,-0.040120149,5.012518344,-0.184742778,"12,240,000,000",7.21,8,1,32.074783,0
8/30/19,0.310444938,0.335873859,6.9,0.069772999,-0.019102309,2.20%,-0.039966542,4.526147176,-0.225596143,"12,240,000,000",7.21,8,1.020414118,32.729561,0.020208543
9/3/19,0.310253242,0.379658442,6.9,0.069772999,-0.019102309,2.20%,-0.024071052,8.65425732,-0.064260031,"12,240,000,000",7.21,8,0.972950044,31.844225,-0.027422541
9/4/19,0.310649666,0.38385462,6.9,0.069772999,-0.019102309,2.20%,-0.001926631,105.8751309,-0.08687615,"12,240,000,000",7.21,8,1.004344078,31.982561,0.004334669
9/5/19,0.310649666,0.374465759,6.9,0.069772999,-0.019102309,2.20%,0.01504484,-13.55829306,0.028449402,"12,240,000,000",7.21,8,1,31.982561,0
9/6/19,0.311635012,0.375660167,6.9,0.069772999,-0.019102309,2.20%,0.004901412,-43.68654528,0.074473067,"12,240,000,000",7.21,8,0.989907785,31.65979,-0.010143486
9/9/19,0.31014928,0.354990827,6.9,0.069772999,-0.019102309,2.20%,0.006389039,-32.48324234,0.012507548,"12,240,000,000",7.21,8,1.01398191,32.102451,0.013885065
9/10/19,0.31014928,0.355746303,6.9,0.069772999,-0.019102309,2.20%,0.030165105,-6.880026077,-0.06926109,"12,240,000,000",7.21,8,1,32.102451,0
9/11/19,0.31014928,0.355887495,6.9,0.069772999,-0.019102309,2.20%,0.030165105,-6.880026077,-0.108691987,"12,240,000,000",7.21,8,1,32.102451,0
9/12/19,0.308058146,0.3939341,6.9,0.069772999,-0.019102309,2.20%,0.029590279,-7.033104686,-0.142622386,"12,240,000,000",7.21,8,0.999425452,32.084011,-0.000574713
9/13/19,0.302331956,0.360776023,6.9,0.069772999,-0.019102309,2.20%,-0.022436288,9.27566678,-0.142622386,"12,240,000,000",7.21,8,1,32.084011,0
9/16/19,0.296493419,0.39682293,6.9,0.069772999,-0.019102309,2.20%,-0.015275942,13.15474889,-0.203982482,"12,240,000,000",7.21,8,1.007185973,32.314564,0.007160277
9/17/19,0.27048235,0.151362708,6.9,0.069772999,-0.019102309,2.20%,-0.02883246,6.969616414,-0.249707669,"12,240,000,000",7.21,8,1,32.314564,0
9/18/19,0.27202453,0.223638481,6.9,0.069772999,-0.019102309,2.20%,-0.049303004,4.928616646,-0.092438312,"12,240,000,000",7.21,8,0.979737472,31.65979,-0.020470629
9/19/19,0.267616145,0.218890722,6.9,0.069772999,-0.019102309,2.20%,-0.035764041,6.794411363,-0.046977258,"12,240,000,000",7.21,8,1,31.65979,0
9/20/19,0.296428746,0.366268469,6.9,0.069772999,-0.019102309,2.20%,-0.053682376,5.36446552,0.015928032,"12,240,000,000",7.21,8,0.956015091,30.267235,-0.04498158
9/23/19,0.293521566,0.404748207,6.9,0.069772999,-0.019102309,2.20%,-0.03561652,8.085496877,0.006097251,"12,240,000,000",7.21,8,1,30.267235,0
9/24/19,0.286297404,0.321624789,6.9,0.069772999,-0.019102309,2.20%,-0.03561652,8.085496877,0.006097251,"12,240,000,000",7.21,8,1,30.267235,0
9/25/19,0.286297404,0.33888954,6.9,0.069772999,-0.019102309,2.20%,-0.06630816,4.343013836,-0.011670093,"12,240,000,000",7.21,8,1,30.267235,0
9/26/19,0.302103747,0.570306676,6.9,0.069772999,-0.019102309,2.20%,-0.093041326,3.576353912,0.095195465,"12,240,000,000",7.21,8,0.965569805,29.225126,-0.03503688
9/27/19,0.252042347,0.538379353,6.9,0.069772999,-0.019102309,2.20%,-0.100643358,3.381750665,0.115405066,"12,240,000,000",7.21,8,0.992426633,29.003794,-0.00760219
9/30/19,0.252042347,0.564857641,6.9,0.069772999,-0.019102309,2.20%,-0.120851889,2.816263336,0.115405066,"12,240,000,000",7.21,8,1,29.003794,0
10/1/19,0.246652855,0.420581632,6.9,0.069772999,-0.019102309,2.20%,-0.09342926,3.642871018,0.115405066,"12,240,000,000",7.21,8,1,29.003794,0
10/2/19,0.248670138,0.485267316,6.9,0.069772999,-0.019102309,2.20%,-0.11475989,3.113863524,0.157477602,"12,240,000,000",7.21,8,0.983147822,28.515017,-0.016995791
10/3/19,0.249296002,0.480648296,6.9,0.069772999,-0.019102309,2.20%,-0.138321159,2.96708754,0.294519112,"12,240,000,000",7.21,8,0.976714133,27.851021,-0.023561266
10/4/19,0.241288458,0.468328942,6.9,0.069772999,-0.019102309,2.20%,-0.128177732,3.201889919,0.362863786,"12,240,000,000",7.21,8,1,27.851021,0
10/7/19,0.238166447,0.427063654,6.9,0.069772999,-0.019102309,2.20%,-0.142062756,2.843655474,0.300563007,"12,240,000,000",7.21,8,1,27.851021,0
10/8/19,0.238166447,0.337287365,6.9,0.069772999,-0.019102309,2.20%,-0.142062756,2.690557619,0.317665615,"12,240,000,000",7.21,8,1,27.851021,0
10/9/19,0.226119854,0.282376013,6.9,0.069772999,-0.019102309,2.20%,-0.173000002,2.388238561,0.368757873,"12,240,000,000",7.21,8,0.969536425,27.002581,-0.030937234
10/10/19,0.226635552,0.310368383,6.9,0.069772999,-0.019102309,2.20%,-0.172425177,2.396200392,0.368757873,"12,240,000,000",7.21,8,1,27.002581,0
10/11/19,0.226635552,0.312004575,6.9,0.069772999,-0.019102309,2.20%,-0.172425177,2.396200392,0.365446966,"12,240,000,000",7.21,8,1,27.002581,0
10/14/19,0.213605424,0.319318328,6.9,0.069772999,-0.019102309,2.20%,-0.179585523,2.300660268,0.365446966,"12,240,000,000",7.21,8,1,27.002581,0
10/15/19,0.204987085,0.267427289,6.9,0.069772999,-0.019102309,2.20%,-0.179585523,1.953352643,0.430423722,"12,240,000,000",7.21,8,1,27.002581,0
10/16/19,0.203574436,0.217900202,6.9,0.069772999,-0.019102309,2.20%,-0.159114978,2.204656401,0.430423722,"12,240,000,000",7.21,8,1,27.002581,0
10/17/19,0.203230112,0.201343284,6.9,0.069772999,-0.019102309,2.20%,-0.160824127,2.191853989,0.433185373,"12,240,000,000",7.21,8,0.998292316,26.956467,-0.001709144
10/18/19,0.20455342,0.225206031,6.9,0.069772999,-0.019102309,2.20%,-0.130662697,2.811232531,0.338018916,"12,240,000,000",7.21,8,0.985289052,26.55991,-0.014820227
