Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversioj,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
7/8/15,0.158550076,0.532849465,2.9,0.117405175,0.931662558,0.00%,-0.015802674,-8.074974228,1.936325715,"9,128,340,000",3.294,9,0.979014606,118.029999,-0.021208717
7/9/15,0.162321813,0.613105494,2.9,0.117405175,0.931662558,0.00%,-0.010411121,-12.88100559,1.872219179,"9,128,340,000",3.294,9,1.011946141,119.440002,0.011875349
7/10/15,0.16289065,0.599081707,2.9,0.117405175,0.931662558,0.00%,-0.007290811,-19.96398967,1.755725869,"9,128,340,000",3.294,9,1.006865372,120.260002,0.006841912
7/13/15,0.166714376,0.633496633,2.9,0.117405175,0.931662558,0.00%,0.018840476,8.242030893,1.709431353,"9,128,340,000",3.294,9,1.015799118,122.160004,0.015675611
7/14/15,0.169581624,0.651044563,2.9,0.117405175,0.931662558,0.00%,0.036625062,4.457884984,1.602725883,"9,128,340,000",3.294,9,1.012933808,123.739998,0.01285088
7/15/15,0.170503408,0.648983922,2.9,0.117405175,0.931662558,0.00%,0.018747457,8.264505389,1.68042424,"9,128,340,000",3.294,9,0.9920802,122.760002,-0.007951328
7/16/15,0.170192676,0.664627649,2.9,0.117405175,0.931662558,0.00%,0.029620248,5.0770994,1.928579935,"9,128,340,000",3.294,9,1.007575757,123.690002,0.007547206
7/17/15,0.165071281,0.779867647,2.9,0.117405175,0.931662558,0.00%,0.016987338,8.743259901,1.797811467,"9,128,340,000",3.294,9,0.988762236,122.300003,-0.011301384
7/20/15,0.164649983,0.777068228,2.9,0.117405175,0.931662558,0.00%,0.011500998,14.6130339,1.956629421,"9,128,340,000",3.294,9,1.001062935,122.43,0.001062371
7/21/15,0.165933137,0.852804777,2.9,0.117405175,0.931662558,0.00%,0.002563769,55.91819637,2.446011011,"9,128,340,000",3.294,9,0.988891612,121.07,-0.011170547
7/22/15,0.165164188,0.847578903,2.9,0.117405175,0.931662558,0.00%,0.010618965,12.95970876,2.633514674,"9,128,340,000",3.294,9,1.000908565,121.18,0.000908153
7/23/15,0.168423342,0.8141112,2.9,0.117405175,0.931662558,0.00%,0.034384747,4.375536989,2.492129652,"9,128,340,000",3.294,9,1.013203491,122.779999,0.013117084
7/24/15,0.16889493,0.797201381,2.9,0.117405175,0.931662558,0.00%,0.010118155,13.94654864,2.635783251,"9,128,340,000",3.294,9,0.995113219,122.18,-0.004898761
7/27/15,0.166321534,0.776059745,2.9,0.117405175,0.931662558,0.00%,0.000739703,186.0694723,2.608251961,"9,128,340,000",3.294,9,0.996153208,121.709999,-0.00385421
7/28/15,0.165794487,0.728467741,2.9,0.117405175,0.931662558,0.00%,0.023345431,6.208785235,2.487962198,"9,128,340,000",3.294,9,1.004108126,122.209999,0.004099711
7/29/15,0.189567773,0.813733565,2.9,0.117405175,0.931662558,0.00%,0.041211285,4.397958784,2.18905012,"9,128,340,000",3.294,9,1.033630644,126.32,0.033077502
7/30/15,0.190181959,0.818180972,2.9,0.117405175,0.931662558,0.00%,0.027684274,6.178581563,2.346535864,"9,128,340,000",3.294,9,0.994458542,125.620003,-0.005556869
7/31/15,0.1931862,0.862139468,2.9,0.117405175,0.931662558,0.00%,0.052745663,3.887755797,1.805637625,"9,128,340,000",3.294,9,1.013294045,127.290001,0.013206455
8/3/15,0.192733006,0.926059701,2.9,0.117405175,0.931662558,0.00%,0.057532586,3.651435799,1.854986395,"9,128,340,000",3.294,9,1.000471341,127.349998,0.00047123
8/4/15,0.192816348,0.957789589,2.9,0.117405175,0.931662558,0.00%,0.052118302,3.814740529,1.877088859,"9,128,340,000",3.294,9,0.997330224,127.010002,-0.002673346
8/5/15,0.190977393,0.957953331,2.9,0.117405175,0.931662558,0.00%,0.075921822,2.803034641,1.752972733,"9,128,340,000",3.294,9,1.002598173,127.339996,0.002594804
8/6/15,0.193511613,0.974989067,2.9,0.117405175,0.931662558,0.00%,0.049491589,4.001939721,1.797374118,"9,128,340,000",3.294,9,0.985550526,125.5,-0.014554885
8/7/15,0.187402991,1.014317596,2.9,0.117405175,0.931662558,0.00%,0.036575473,5.499879352,1.678236384,"9,128,340,000",3.294,9,0.993944207,124.739998,-0.006074204
8/10/15,0.18708832,0.944272626,2.9,0.117405175,0.931662558,0.00%,0.024500906,7.907679967,1.793634138,"9,128,340,000",3.294,9,1.003607536,125.190002,0.003601044
8/11/15,0.179099654,0.93948298,2.9,0.117405175,0.931662558,0.00%,0.006042801,31.60020765,1.786939361,"9,128,340,000",3.294,9,0.994408467,124.489998,-0.005607224
8/12/15,0.174883882,0.923378639,2.9,0.117405175,0.931662558,0.00%,0.009646988,19.36366782,1.805207547,"9,128,340,000",3.294,9,0.995662294,123.949997,-0.004347141
8/13/15,0.173614535,0.922166778,2.9,0.117405175,0.931662558,0.00%,0.000969665,183.1888495,1.885670148,"9,128,340,000",3.294,9,0.99887052,123.809998,-0.001130118
8/14/15,0.169694548,0.908439849,2.9,0.117405175,0.931662558,0.00%,0.014288236,11.70762321,2.019130532,"9,128,340,000",3.294,9,1.002019223,124.059998,0.002017187
8/17/15,0.169462829,0.902593263,2.9,0.117405175,0.931662558,0.00%,0.01885247,9.679470403,1.844744901,"9,128,340,000",3.294,9,1.005642463,124.760002,0.005626604
8/18/15,0.169502564,0.906181324,2.9,0.117405175,0.931662558,0.00%,0.03322406,5.186146103,1.978146558,"9,128,340,000",3.294,9,1.003206172,125.160004,0.003201043
8/19/15,0.15582822,0.759851187,2.9,0.117405175,0.931662558,0.00%,0.032954837,5.118560679,2.021763947,"9,128,340,000",3.294,9,1.000639134,125.239998,0.00063893
8/20/15,0.170870678,0.878616604,2.9,0.117405175,0.931662558,0.00%,-0.005062434,-27.74919754,2.293704458,"9,128,340,000",3.294,9,0.975407266,122.160004,-0.024900187
8/21/15,0.175983117,0.783095361,2.9,0.117405175,0.931662558,0.00%,-0.015506719,-7.663998469,2.623140547,"9,128,340,000",3.294,9,0.984774059,120.300003,-0.015343046
8/24/15,0.206228459,0.857345789,2.9,0.117405175,0.931662558,0.00%,-0.053496777,-1.544615612,3.344847407,"9,128,340,000",3.294,9,0.95901912,115.370003,-0.041844267
8/25/15,0.201609004,0.831272194,2.9,0.117405175,0.931662558,0.00%,-0.06289786,-1.123545286,3.622628396,"9,128,340,000",3.294,9,0.994712655,114.760002,-0.005301372
8/26/15,0.217506307,0.788068667,2.9,0.117405175,0.931662558,0.00%,-0.069830073,-1.453539999,2.817571208,"9,128,340,000",3.294,9,1.026490074,117.800003,0.026145288
