Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
9/13/19,0.690558134,2.002262415,2.1,-0.291581372,1.761837456,0.00%,-0.12513601,-3.662132772,2.208466657,,,9,0.989954338,21.68,-0.01009646
9/16/19,0.68195439,1.947729395,2.1,-0.291581372,1.761837456,0.00%,-0.144201614,-3.258714519,2.084984561,,,9,1.005073847,21.790001,0.005061018
9/17/19,0.658438086,1.948059239,2.1,-0.291581372,1.761837456,0.00%,-0.181623314,-1.77069597,3.155310607,,,9,0.986232171,21.49,-0.013863484
9/18/19,0.652608092,1.927120691,2.1,-0.291581372,1.761837456,0.00%,-0.184964799,-1.401814488,3.850036947,,,9,0.996277338,21.41,-0.003729608
9/19/19,0.607534678,1.951499567,2.1,-0.291581372,1.761837456,0.00%,-0.224089263,-0.641349912,6.505105979,,,9,0.987389024,21.139999,-0.012691169
9/20/19,0.60621771,1.805392256,2.1,-0.291581372,1.761837456,0.00%,-0.121268478,-2.428352485,3.063226736,,,9,1.023651846,21.639999,0.023376475
9/23/19,0.597556066,1.745625047,2.1,-0.291581372,1.761837456,0.00%,-0.134961033,-1.603211835,4.2117266,,,9,0.969038816,20.969999,-0.031450611
9/24/19,0.586263725,1.671270141,2.1,-0.291581372,1.761837456,0.00%,-0.201650087,-0.988937974,4.422129479,,,9,0.97329523,20.41,-0.02706782
9/25/19,0.560145834,1.403168866,2.1,-0.291581372,1.761837456,0.00%,-0.196456109,-0.833192989,4.983763663,,,9,0.963743263,19.67,-0.036930344
9/26/19,0.527952651,1.086216086,2.1,-0.291581372,1.761837456,0.00%,-0.216887014,-0.812914577,4.462553431,,,9,0.978139298,19.24,-0.022103187
9/27/19,0.52691727,1.093798689,2.1,-0.291581372,1.761837456,0.00%,-0.249012931,-0.493557569,6.586312373,,,9,0.97972973,18.85,-0.020478531
9/30/19,0.525800154,1.015807088,2.1,-0.291581372,1.761837456,0.00%,-0.230279421,-0.616398695,5.553978617,"1,859,844,050",30.797,9,1.022281167,19.27,0.022036569
10/1/19,0.532758809,1.090586822,2.1,-0.291581372,1.761837456,0.00%,-0.217973876,-0.393923691,8.968562501,,,9,0.946030099,18.23,-0.055480894
10/2/19,0.53611027,0.815500025,2.1,-0.291581372,1.761837456,0.00%,-0.231240707,-0.514630009,6.753082582,,,9,1.012068075,18.450001,0.011995836
10/3/19,0.5429474,0.854935579,2.1,-0.291581372,1.761837456,0.00%,-0.104628465,-2.465703909,3.176416836,,,9,1.036856258,19.129999,0.036193306
10/4/19,0.510801674,0.929990083,2.1,-0.291581372,1.761837456,0.00%,-0.099178167,-2.724407363,3.063018247,,,9,1.017773132,19.469999,0.017617037
10/7/19,0.510864677,1.094067659,2.1,-0.291581372,1.761837456,0.00%,-0.04888764,-6.236146467,2.811787793,,,9,1.004622496,19.559999,0.004611845
10/8/19,0.506659872,1.104447211,2.1,-0.291581372,1.761837456,0.00%,-0.091533537,-2.900493955,3.157765075,,,9,0.949386552,18.57,-0.051939238
10/9/19,0.503203321,1.118580225,2.1,-0.291581372,1.761837456,0.00%,-0.117665451,-2.38219429,3.175787895,,,9,1.017770598,18.9,0.017614547
10/10/19,0.503918879,1.064580806,2.1,-0.291581372,1.761837456,0.00%,-0.166016902,-1.462975993,3.57756052,,,9,0.981481429,18.549999,-0.018692187
10/11/19,0.504369514,0.844791762,2.1,-0.291581372,1.761837456,0.00%,-0.186574129,-1.511220104,3.194034986,,,9,0.969811373,17.99,-0.030653687
10/14/19,0.504035064,0.840845045,2.1,-0.291581372,1.761837456,0.00%,-0.189968943,-1.610665404,2.749271111,,,9,1.001667593,18.02,0.001666204
10/15/19,0.48691461,0.803626476,2.1,-0.291581372,1.761837456,0.00%,-0.147117976,-1.961561081,3.142622929,,,9,1.029411709,18.549999,0.028987483
10/16/19,0.478673846,0.674044696,2.1,-0.291581372,1.761837456,0.00%,-0.162436454,-1.703761999,3.117588335,,,9,0.981132182,18.200001,-0.019048086
10/17/19,0.417045952,1.364612276,2.1,-0.291581372,1.761837456,0.00%,-0.146454058,-1.717063453,3.382455408,,,9,1.003296648,18.26,0.003291226
10/18/19,0.43088369,1.451940089,2.1,-0.291581372,1.761837456,0.00%,-0.217498654,-1.091783924,3.468549776,,,9,0.953450164,17.41,-0.047668121
10/21/19,0.421470994,1.519129085,2.1,-0.291581372,1.761837456,0.00%,-0.16727082,-1.817252981,2.771375331,,,9,1.018954624,17.74,0.018777223
10/22/19,0.439734717,1.593843984,2.1,-0.291581372,1.761837456,0.00%,-0.189303305,-1.440016869,2.939136503,,,9,0.952085626,16.889999,-0.049100305
10/23/19,0.42101936,1.364722044,2.1,-0.291581372,1.761837456,0.00%,-0.18915721,-1.271388231,3.217159608,,,9,0.963884071,16.280001,-0.03678425
10/24/19,0.417323755,1.324863625,2.1,-0.291581372,1.761837456,0.00%,-0.142181648,-1.751924451,3.222016766,,,9,1.025184274,16.690001,0.024872376
10/25/19,0.420208533,1.35223621,2.1,-0.291581372,1.761837456,0.00%,-0.113349906,-2.8166857,2.599121165,,,9,1.008388196,16.83,0.008353211
10/28/19,0.455307734,1.555768725,2.1,-0.291581372,1.761837456,0.00%,-0.083291362,-3.7071249,2.851810658,,,9,1.053475936,17.73,0.052095112
10/29/19,0.466297718,1.58170815,2.1,-0.291581372,1.761837456,0.00%,-0.070443653,-4.187285979,2.691838236,,,9,0.958262831,16.99,-0.042633184
10/30/19,0.466636272,1.562557298,2.1,-0.291581372,1.761837456,0.00%,-0.09726336,-2.92914226,2.851106668,,,9,0.985285462,16.74,-0.014823871
10/31/19,0.474472248,1.605091565,2.1,-0.291581372,1.761837456,0.00%,-0.171817472,-1.141896145,4.48691413,,,9,0.962365651,16.110001,-0.038360806
11/1/19,0.485058842,2.055885803,2.1,-0.291581372,1.761837456,0.00%,-0.151671253,-1.085677217,5.883112251,,,9,1.038485348,16.73,0.037763256
11/4/19,0.482423778,2.002267395,2.1,-0.291581372,1.761837456,0.00%,-0.179870524,-0.753078686,6.364358097,,,9,0.976688583,16.34,-0.023587426
11/5/19,0.479202203,1.983758196,2.1,-0.291581372,1.761837456,0.00%,-0.131609953,-0.837981419,7.003304262,,,9,0.996328091,16.280001,-0.003678667
